Aidan|Boy,x,x,x,x,x,x,x,x,x,x,70,x,x,
Lennie|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Bertie|Boy,69,x,x,x,x,x,x,x,x,x,x,x,x,
Douglas|Boy,54,57,38,44,52,69,81,x,x,x,x,x,x,Lost Generation
Rocco|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Hassan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lincoln|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Rohan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ralphie|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Connor|Boy,x,x,x,x,x,x,x,x,x,28,28,79,x,Declining Former Favorite
Kevin|Boy,x,x,x,x,67,20,15,27,37,x,x,x,x,Declining Former Favorite
Malik|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Zayaan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ronan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Sullivan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Eden|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Damian|Boy,x,x,x,x,x,x,x,64,x,x,x,x,x,
Maddox|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lennox|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ivan|Boy,x,x,97,91,91,x,x,x,x,x,x,x,x,Lost Generation
Lando|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Victor|Boy,47,49,50,62,56,88,x,x,x,x,x,x,x,Lost Generation
Mark|Boy,81,x,x,x,x,32,4,2,10,45,x,x,x,Intermittent Presence
Kobe|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Hayden|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Elis|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Julian|Boy,x,x,x,x,x,96,62,68,x,x,x,x,x,Declining Former Favorite
Zorawar|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Cassius|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Khalil|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Santiago|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ari|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ismail|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Kylo|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Peter|Boy,59,42,11,2,4,5,12,23,23,51,x,x,x,Steady Classic
Lennon|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lochlan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Malachi|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Teddie|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Monty|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Reign|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Ernest|Boy,10,13,23,47,72,x,x,x,x,x,x,x,x,Declining Former Favorite
Sami|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Atticus|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Azlan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Barney|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Matei|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Jonathan|Boy,x,x,x,x,x,52,27,20,18,29,81,x,x,Declining Former Favorite
Wyatt|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Laith|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Zaviyar|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Aryan|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Fraser|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Hector|Boy,89,x,x,x,x,x,x,x,x,x,x,x,x,
Kaleb|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Seth|Boy,x,x,x,x,x,x,x,x,x,x,x,90,x,
Ayden|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lukas|Boy,x,x,x,x,x,x,x,x,x,x,x,x,x,
